Ave;Otros nombres;Especie;Familia;Orden;Color;Tamaño;Patas;Alas;Picos;Alimentación;Nidificación;Se encuentra en:;Hábitat;Migración;Cronotipo;Foto
Tijeral ;Coludito comun;Leptasthenura aegithaloides;Furnariidae;PASSERIFORMES;"castaño;negro;pardo";muy pequeño;anisodactilas;de alta velocidad;insectivoro;carnivoro;cavidad;5:15;matorral;No;diurno;https://www.avesdechile.cl/0jpgn/054jt1.jpg
Colilarga;NULL ;Sylviorthorhynchus desmursii;Furnariidae;PASSERIFORMES;anaranjado;pequeño;anisodactilas;de alta velocidad;insectivoro;carnivoro;madriguera;6:16;bosque;No;diurno;https://www.avesdechile.cl/0jpgn/327ar1.jpg
Hued-hued del Sur;Tuta, Gallereta, Huete huete, Waweta;Pteroptochos tarnii;Rhinocryptidae;PASSERIFORMES;"anaranjado;gris";pequeño;anisodactilas;de alta velocidad;insectivoro;carnivoro;cavidad;11:16;bosque;No;diurno;https://www.avesdechile.cl/0jpgn/184wb1.jpg
Turca;Turco;Pteroptochos megapodius;Rhinocryptidae;PASSERIFORMES;"blanco;cafe;negro";pequeño;anisodactilas;de alta velocidad;insectivoro;carnivoro;madriguera;5:11;matorral;No;diurno;https://www.avesdechile.cl/0jpgn/170rrc1.jpg
Fio-fio;Wiyu, Fio-fio comun, Fio-fio peruano;Elaenia albiceps;Tyrannidae;PASSERIFORMES;"blanco;gris;pardo";pequeño;anisodactilas;de alta velocidad;insectivoro;omnivoro;cuenco;4:16;jardin;No;diurno;https://www.avesdechile.cl/0jpgn/081jt4.jpg
Cachudito;Cachudito de pico negro, torito;Anairetes parulus;Tyrannidae;PASSERIFORMES;"blanco;negro;pardo";muy pequeño;anisodactilas;de alta velocidad;insectivoro;omnivoro;cuenco;3:16;bosque;No;diurno;https://www.avesdechile.cl/0jpgn/035jc1.jpg
Zorzal;Zorzal patagonico;Turdus falcklandii;Turdidae;PASSERIFORMES;"negro;pardo";pequeño;anisodactilas;de alta velocidad;insectivoro;omnivoro;cuenco;4:16;jardin;No;diurno - crepuscular ;https://www.avesdechile.cl/0jpgn/168jt1.jpg
Chincol ;Chingolo, Pichisanka, Gorrion americano ;Zonotrichia capensis;Emberizidae;PASSERIFORMES;"negro;pardo;rojo";muy pequeño;anisodactilas;de alta velocidad;granivoro;omnivoro;cuenco;4:14;jardin;No;diurno;https://www.avesdechile.cl/0jpgn/186jt1.jpg
Lechuza;Lechuza blanca, Caremono, Lechuza de campanario;Tyto alba ;Tytonidae;STRIGIFORMES;"blanco;ocre";mediano - pequeño;anisodactilas;elipticas;generalista;carnivoro;cavidad;1:16;bosque;No;nocturno;https://www.avesdechile.cl/0jpgn/094jc4.jpg
Chuncho;Chucho, cabure grande;Glaucidium nanum;Strigidae;STRIGIFORMES;"blanco;cafe";pequeño;cigodactilas;elipticas;generalista;carnivoro;cavidad;4:16;matorral;No;crepuscular - nocturno;https://www.avesdechile.cl/0jpgn/036er1.jpg
